Title,Genre,Release Date,Release Year,Description,Duration,Critic Rating,Audience Rating,Consensus Text,URL,Type,netflix,max-us,fandango,vudu,disney-plus-us,paramount-plus-us,peacock,apple-tv-us,apple-tv-plus-us,hulu,amazon-prime-video-us
Sound of Freedom,Crime/,"Released Jul 4, 2023,",2023,"Sound of Freedom, based on the incredible true story, shines a light on even the darkest of places. After rescuing a young boy from ruthless child traffickers, a federal agent learns the boy’s sister is still captive and decides to embark on a dangerous mission to save her. With time running out, he quits his job and journeys deep into the Colombian jungle, putting his life on the line to free her from a fate worse than death.","2h 11m,",27%,44%,"Critics Consensus
        
Sound of Freedom is an effective and suspenseful call to action against human trafficking, yet not free of issues in its depiction of the sensitive subject matter.
Read Critics Reviews",https://www.rottentomatoes.com/m/sound_of_freedom,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Road House,Action/,"2024,",2024,Road House: Trailer 1,"1h 54m,",55%,53%,"Critics Consensus
        
Road House updates a cult classic for a new generation, happily replicating the original's emphasis on cheesy brawn over narrative brains.
Read Critics Reviews",https://www.rottentomatoes.com/m/road_house,Movie,No,No,No,Yes,No,No,No,No,No,No,Yes
Blade: Trinity,Horror/,"Released Dec 8, 2004,",2004,"The war between humans and vampires continues, but the humans' best hope, human-vampire hybrid warrior Blade (Wesley Snipes), has been framed for countless murders, turning popular sentiment against him. The vampire leader responsible for Blade's bad publicity is Danica Talos (Parker Posey), who's determined to finally lead her bloodthirsty compatriots to victory. Now Blade must team up with a band of rogue vampire hunters (Ryan Reynolds, Jessica Biel) to save humanity.","1h 54m,",57%,68%,"Critics Consensus
        
Louder, campier, and more incoherent than its predecessors, Blade: Trinity seems content to emphasize style over substance and rehash familiar themes.
Read Critics Reviews",https://www.rottentomatoes.com/m/blade_trinity,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
The Devil's Bath,Horror/,"Released Jun 21,",N/A,The Devil's Bath: Trailer 1,"2h 1m,",87%,64%,"Critics Consensus
        
A squirm-inducing period piece that locates true horror in both mind and spirit, The Devil's Bath might be Severin Fiala and Veronika Franz's most chilling directorial effort yet.
Read Critics Reviews",https://www.rottentomatoes.com/m/the_devils_bath,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
School Spirits,Drama,"2023 - Present,",2023,School Spirits: Season 1 Trailer,N/A,83%,85%,N/A,https://www.rottentomatoes.com/tv/school_spirits_2023,TV Show,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
The Bricklayer,Action/,"Released Jan 5,",N/A,The Bricklayer: Trailer 1,"1h 50m,",38%,93%,N/A,https://www.rottentomatoes.com/m/the_bricklayer_2023,Movie,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
Black Clover,Fantasy/,"2017 - 2021,",2017,"Everyone within the Clover Kingdom is born with the natural ability to perform magic. Asta and Yuno are both orphans, abandoned at the same church at the same time, and the two have become inseparable throughout their childhood. Asta dreams of becoming the greatest and most powerful mage in the Kingdom. There's only one problem: Asta can't use any magic. Yuno has always been good with magic -- a genius even -- and has great control over it, which becomes evident to Asta, who works to train physically to make up for his lack of magic. As teenagers, Asta and Yuno are chosen to become Magic Knights. Yuno receives his grimoire with the power of wind while Asta does not. When their lives are threatened, Asta manages to summon his own grimoire, one that has a very rare and mysterious anti-magic ability. ""Black Clover"" follows Asta and Yuno within their respective squads as they continue to show a friendly rivalry that has them both striving to become the next Wizard King.",N/A,83%,100%,N/A,https://www.rottentomatoes.com/tv/black_clover,TV Show,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Fresh Kills,Crime/,"Released Jun 14,",N/A,Fresh Kills: Trailer 1,"1h 59m,",23%,65%,N/A,https://www.rottentomatoes.com/m/fresh_kills,Movie,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Breaking the Ice,Documentary,"2023 - Present,",2023,"Following Washington D.C.-based ice skating champion Rory Flack and her groundbreaking journey as he leads the first all diverse, competitive synchronized ice skating team.",N/A,,18%,N/A,https://www.rottentomatoes.com/tv/breaking_the_ice_2023,TV Show,No,No,No,No,No,No,No,Yes,No,No,Yes
The Truman Show,Comedy/,"Released Jun 5, 1998,",1998,The Truman Show: Trailer 1,"1h 42m,",82%,83%,"Critics Consensus
        
A funny, tender, and thought-provoking film, The Truman Show is all the more noteworthy for its remarkably prescient vision of runaway celebrity culture and a nation with an insatiable thirst for the private details of ordinary lives.
Read Critics Reviews",https://www.rottentomatoes.com/m/truman_show,Movie,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
